stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F00479;Csillaghegy H;47.586110;19.045371;F00479;;CS009392;2;-70
F00480;Csillaghegy;47.585948;19.044932;F00480;;CSF00481;2;25
F00481;Csillaghegy;47.586272;19.045078;F00481;;CSF00481;2;-153
F00482;Szent István utca;47.590814;19.049851;;;;2;-120
F00483;Aquincum;47.567968;19.048641;F00483;;CSF00483;2;-15
F00484;Aquincum;47.566541;19.048814;F00484;;CSF00483;2;-167
F00485;Római tér;47.569821;19.048481;;;;2;-8
F00486;Monostori út;47.573140;19.050621;;;;2;96
F00487;Rómaifürdő;47.576225;19.048721;F00487;;CSF00487;2;6
F00488;Rómaifürdő;47.575145;19.048415;F00488;;CSF00487;2;-174
F00489;Rómaifürdő H;47.575622;19.049013;;;;2;7
F00490;Czetz János köz;47.578653;19.050502;F00490;;CSF00492;2;94
F00491;Czetz János köz;47.578761;19.050156;F00491;;CSF00492;2;-87
F00492;Czetz János köz;47.578998;19.048961;F00492;;CSF00492;1;-176
F00493;Attila utca;47.579328;19.052762;F00493;;CSF00494;2;21
F00494;Attila utca;47.579697;19.052895;F00494;;CSF00494;2;-139
F00495;Huba utca;47.581342;19.054477;F00495;;CSF00496;2;18
F00496;Huba utca;47.581657;19.054543;F00496;;CSF00496;2;-149
F00497;Hunyadi utca;47.584949;19.056099;F00497;;CSF00497;2;9
F00498;Hunyadi utca;47.584805;19.055900;F00498;;CSF00497;2;-167
F00499;Pók utca;47.565278;19.057970;;;;2;-80
F00500;Dósa utca;47.575820;19.056616;F00500;;CSF00500;2;-84
F00501;Dósa utca;47.575640;19.057666;F00501;;CSF00500;2;87
F00502;Kadosa utca;47.571260;19.054130;;;;2;91
F00504;Sujtás utca;47.563461;19.050927;;;;2;20
F00505;Záhony utca;47.561375;19.048229;F00505;;CSF00506;2;49
F00506;Záhony utca;47.562238;19.048136;F00506;;CSF00506;2;10
F00507;Záhony utca;47.560997;19.047139;F00507;;CSF00506;2;-166
F00508;Kaszásdűlő H;47.557129;19.046116;F00508;;CSF00508;2;14
F00509;Kaszásdűlő H;47.556598;19.045585;F00509;;CSF00508;2;-165
F00510;Kaszásdűlő;47.556508;19.045133;F00510;;CSF00511;2;24
F00511;Kaszásdűlő;47.557039;19.045372;F00511;;CSF00511;2;-153
F00512;Kaszásdűlő utca;47.557642;19.041678;F00512;;CSF00513;2;-165
F00513;Kaszásdűlő utca;47.558289;19.042063;F00513;;CSF00513;2;16
F00514;Dinamó utca;47.564009;19.036309;;;;2;15
F00515;Kunigunda útja;47.560105;19.033545;F00515;;CSF00516;2;100
F00516;Kunigunda útja;47.560357;19.034994;F00516;;CSF00516;2;-167
F00517;Kunigunda útja;47.559962;19.035539;F00517;;CSF00516;2;-80
F00518;Orbán Balázs út;47.555850;19.026850;F00518;;CSF00519;2;-20
F00519;Orbán Balázs út;47.556425;19.026385;F00519;;CSF00519;2;157
F00520;Bojtár utca (Bécsi út);47.560122;19.024642;F00520;;CSF00520;2;-15
F00521;Bojtár utca;47.558966;19.024898;F00521;;CSF00520;2;161
F00522;Óbudai temető;47.566004;19.022035;F00522;;CSF00522;2;-18
F00523;Óbudai temető;47.565923;19.023258;F00523;;CSF00522;2;43
F00524;Óbudai temető;47.565770;19.022846;F00524;;CSF00522;2;-135
F00527;Óbuda vasútállomás;47.569118;19.031377;;;;2;
F00529;Szőlővész utca;47.575818;19.013692;;;;1;134
F00530;Ürömhegyi út;47.577568;19.010637;F00530;;CSF00531;2;-56
F00531;Ürömhegyi út;47.577738;19.010013;F00531;;CSF00531;2;124
F00532;Üröm vasúti megállóhely;47.581522;19.002246;F00532;;CSF00533;2;-48
F00533;Üröm vasúti megállóhely;47.581684;19.001794;F00533;;CSF00533;2;121
